,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,result
284671,0.350357478919711,0.294277577706134,1.09854539677656,-0.0258164579506494,-0.561684205665409,-0.191016521401467,-0.405302147599824,-0.80362876400411,0.868562530702181,-0.647429387542955,-1.1477511398221,0.156423533247863,-0.194186165679478,-0.0595806573975931,0.496701708325026,-0.013201922951999,-0.375145294764996,0.377789100722134,-0.0885425515241256,-0.260985883784027,0.996507070030746,0.607651933300294,-0.295464669002471,0.0110793147873521,0.769838809865863,-0.0020597599904023,0.235519857399217,0.253859959596201,7.71,0
248296,-0.613695895305449,3.69877241384725,-5.53494116176501,5.62048638535855,1.64926285038792,-2.33514498091385,-0.907188472777421,0.706362095310651,-3.74764612466131,-4.23098383571181,4.43631907416962,-4.50380121641622,-0.954361345864011,-9.86137210765166,-0.505329037399437,0.269281953090911,0.591319064375358,1.79599192045908,-1.08520791024384,0.354772932978025,0.319260753518317,-0.471378905146116,-0.075890410682347,-0.667909264857987,-0.642848415713801,0.0706001067101182,0.488409527815439,0.292344974289491,0.0,1
159020,-4.81958354392587,2.72527446343196,-4.39530847174775,-1.32795602812071,-0.0781620385402277,-1.07009527583476,-0.643188547790528,2.22300941821472,0.0270021534091402,0.828981348976838,-0.641542647079094,1.11810042965376,0.0212475557841285,2.08140557713306,-0.670011729414888,0.421822351704916,-0.0935438228832307,0.428781835913977,0.373229074904873,-0.706442765747752,0.0085325749587448,0.772660785096296,0.580107022083666,-0.169993035299519,0.361058811345154,0.0937091049247135,-0.391463981533665,-0.125835409814493,8.78,0
239501,-6.68283191622627,-2.71426804459821,-5.77453045690806,1.44979237466742,-0.66183640822251,-1.14864974026029,0.849686456067088,0.433427022470355,-1.3156463890999,-2.79633153858609,-0.448793725596362,-2.56260240774572,0.243482526844698,-1.18166939064494,0.004372871675287,-2.3025956900034,-4.446191868553,-1.71046314846621,0.982728632705372,-1.92852719254856,0.22052629481591,1.18701320438743,0.335820816532534,0.215682964100827,0.803109991522633,0.0440333423786634,-0.054987627978561,0.0823370925160337,237.26,1
143336,-6.71340697159693,3.92110415204576,-9.74667821737542,5.14826254938013,-5.15156271985187,-2.09938865681113,-5.93776683170198,3.57877960420447,-4.6849517505833,-8.53775768653457,6.34897930341209,-8.68160893168352,0.251179384774619,-11.6080022570993,-0.351568782034355,-5.36356643348466,-11.9390915052116,-3.58360287020043,0.897402406121681,0.135711322729059,0.954272201927517,-0.45108644858101,0.127214424071711,-0.339449869297565,0.394095513633807,1.07529509891805,1.6499059092424,-0.394905372194808,252.92,1
16071,-0.783614367038109,0.723626011712578,2.87703856307028,3.17368621636959,-0.409814823275787,0.123285961696705,-0.294725911315416,0.305200225877701,-0.62215286688629,0.665623165964579,-0.657619652955372,-0.124173748922724,0.0302140852410144,-0.389127857886926,0.437846630603457,-0.23574323977273,0.35068705410283,0.0834012172806781,0.82050231190242,0.392792651173773,0.0196055436374237,0.215931526373905,0.0155991301153403,0.711422109603468,-0.264636325932019,0.183857076002875,0.394485355296008,0.208108960617273,18.96,0
4243,1.33099454250632,-0.525667228126659,0.637793842850257,-0.485586330823165,-0.999807114595934,-0.554834726244032,-0.789349683544575,-0.0611445737855851,0.717080132660726,0.228586758228407,0.748521288162095,-3.71206381750183,0.394550005666257,1.59455654080109,0.486704169917828,0.983108462820886,1.3093977492804,-1.57898072864956,0.050711530154864,-0.0605112052861231,-0.223671935823754,-0.593879741793192,0.178046010880081,-0.038579247888919,0.079716593423703,-0.487702943993411,-0.0127444780755203,0.013021568970804,26.77,0
150662,-5.83919161928092,7.1515323543223,-12.8167600806187,7.03111476501099,-9.6512721679897,-2.93842725771624,-11.5432071690832,4.84362653179436,-3.49427572506535,-13.3207888671784,8.46024444901677,-17.003289445516,0.101556614891384,-14.094451660329,0.747030766392512,-12.6616957230679,-18.9124938172188,-6.62697484523061,4.00892074227194,0.0556838813863639,2.46205591127559,1.05486518382957,0.530480596078193,0.472669814042592,-0.275997967880675,0.282435024801752,0.104886020210564,0.254417096767513,316.06,1
173981,1.95503841932713,0.103309275600671,-1.6639800980979,0.460725085888025,0.170136355563308,-1.23696291134883,0.232572232075719,-0.281258733692872,0.27149308678273,-0.325620880055423,1.48984807004705,0.961170024475378,0.232858443888725,-0.586419329235657,0.157443209664944,0.359729097261156,0.161554858571668,0.929397465359539,-0.18918089899993,-0.121256377765618,0.27386259988339,0.883857813348006,-0.0495261028487524,0.0242540088119527,0.211900325004676,-0.130742093752422,-0.0090655290846119,-0.0348545803358063,30.9,0
250402,-3.17122996540523,3.32793817971434,-1.44078762782442,-1.22145461560277,0.397830873508511,1.61960406600369,-2.35970138328473,-9.47419882936756,0.936826106042416,0.738380418895687,-1.60473416206145,0.87034175674764,0.392899458307388,0.205357644409758,-0.53573677749086,0.188432741831054,0.0180242587775265,-0.38445686859613,-0.0043825527476224,-1.85920358480087,8.79874618229016,-3.88201579333115,1.33284909123925,-0.132615282865261,-0.0814196849540587,0.231668659358387,0.813711762281764,0.233190773230722,17.99,0
